Categoria	Pregunta	Dificultad	Tipo	r1	r2	r3	r4	rCorrecta
Cultura	FireWire es un estándar de interfaz, una conexión de alta velocidad desarrollada por:	Dificil	multiple	Microsoft	Apple	NASA	ASME	r2
Hardware	La capacidad normal del CD-ROM es	Dificil	multiple	4.7 GB	0.7 GB	2.2 GB	0.45GB	r2
Hardware	Cual de las siguientes partes no pertenece al CPU	Dificil	multiple	Memoria caché	Unidad aritmética lógica	Núcleo	Memoria de acesso aleatorio	r4
Hardware	¿Cuál es el tamaño máximo de la unidad óptica BD / RW de una sola capa?	Dificil	multiple	4.6 GB	27 GB	12 GB	1.7GB	r2
Hardware	Las impresoras láser producen salidas de resolución en:	Dificil	multiple	= 1200dpi	>6000 dpi	>=600 dpi	<60 dpi	r3
Hardware	"JPEG" es el acrónimo en inglés de:	Dificil	multiple	Joint Photographic Experts Group	Joint Photographic Experts Group	Joint Photographic Extra Graphics	Joint Pulses Exponential Group	r1
Hardware	¿Cuántos voltios necesita la placa base (según sus componentes)?	Dificil	multiple	5 o 15	9 o 12	5 o 12	9 o 15	r1
Hardware	Los conectores de red son de tipo	Dificil	multiple	RJ45	R2-D2	C3-PO	RJ11	r1
Software	Licencia que conserva los derechos de autor y se puede distribuir y modificar	Dificil	multiple	GPL	Creative	Shareware	Freeware	r1
Software	Fundador de la Free Software Foundation y del proyecto GNU	Dificil	multiple	Bill Gates	Richard Stallman	Linus Torvalds	Steve Jobs	r2
Software	Aplicación que permite crear una máquina virtual	Dificil	multiple	suse	Mandriva	vmware	ubuntu	r3
Software	Es el escritorio de Ubuntu	Dificil	multiple	Unity	Gnome	Unity-Gnome	kde	r3
Software	Tipos de escritorios ampliamente extendidos y conocidos de Ubuntu	Dificil	multiple	Unity	Gnome	Unity-Gnome	KDE y GNOME	r4
Software	Diseñó el KERNEL de LINUX	Dificil	multiple	Richard Stallman	Linus Torvalds	Bill Gates	Steve Jobs	r2
Hardware	La digitalización es un proceso que convierte los datos de	Facil	multiple	Analógico a digital	Digital a digital	Digital a analógico	Analógico a analógico	r1
Hardware	Parte física de los ordenadores y perifericos	Facil	multiple	Hardware	Software	Pantalla	Sistema Operativo	r1
Hardware	DVD-ROM es para	Facil	multiple	Solo escritura	Solo lectura	Escritura y lectura	Ninguna de las dos	r1
Hardware	Una cámara digital puede capturar momentos del mundo real como:	Facil	multiple	Imagen analógica	Transmisión de datos	transmisión de voz	Imagen digital	r4
Hardware	Cual de las siguinets definiciones describe mejor el reloj interno de un microprocesador	Facil	multiple	Un reloj dentro del microprocesador.	Es el dispositivo de tiempo para sincronizar las operaciones de la computadora.	La arquitectura del procesador.	La compatibilidad de un microprocesador	r2
Hardware	¿Cómo se mide la velocidad de una computadora moderna?	Facil	multiple	En gigahercios	A través de procesadores	RPM	Cantidad de espacio de almacenamiento	r4
Hardware	¿Cuál es el tipo de almacenamiento primario más común en una computadora?	Facil	multiple	CPU	GPU	RAM	TPU	r3
Hardware	Cuáles son ejemplos de dispositivos de almacenamiento	Facil	multiple	ROM, unidad flash, disco duro	RAM, unidad flash, ROM	Teclado, ratón, PC	Altavoces, escáner, monitor	r1
Hardware	Cual de las siguientes palabras pertenece al campo semántico "dispositivos de salida"	Facil	multiple	Tecnología LCD, proyectores de video, plotter, impresora de cartucho	Impresoras de línea, impresoras láser, impresoras de impacto	Máquina ax, módem de fax, tarjetas de sonido, impresoras MFP	Tecnología LCD, monitores CRT, tarjetas de escritorio	r3
Hardware	Cual de las siguientes palabras no pertenece al campo semántico "dispositivos de salida"	Facil	multiple	Bocina	Pantalla	Teclado	Audifonos	r3
Hardware	Cual de las siguientes palabras no pertenece al campo semántico "dispositivos de salida"	Facil	multiple	Mouse	Audifonos	Impresora	Proyector	r1
Hardware	Cual de las siguientes palabras no pertenece al campo semántico "dispositivos de salida"	Facil	multiple	Bocina	Escaner	Pantalla	Proyector	r2
Hardware	Cual de las siguientes palabras no pertenece al campo semántico "dispositivos de salida"	Facil	multiple	Plotter	Cámara de video	Audifonos	Bocina	r2
Hardware	Cual de las siguientes palabras no pertenece al campo semántico "dispositivos de entrada"	Facil	multiple	Pantalla	Teclado	Ratón	Unidad de disco óptico	r1
Hardware	Cual de las siguientes palabras no pertenece al campo semántico "dispositivos de entrada"	Facil	multiple	Unidad de disco óptico	Impresoras	Escáner	Micrófono	r2
Hardware	Cual de las siguientes palabras no pertenece al campo semántico "dispositivos de entrada"	Facil	multiple	Tableta gráfica	Ratón	Bocina	Teclado	r3
Hardware	Cual de las siguientes palabras no pertenece al campo semántico "dispositivos de entrada"	Facil	multiple	Teclado	Unidad de disco óptico	Micrófono	Audifonos	r4
Hardware	Cual de las siguientes palabras no pertenece al campo semántico "dispositivos de entrada"	Facil	multiple	Escáner	Plotter	Teclado	Tableta gráfica	r2
Hardware	Cual de las siguientes palabras pertenece al campo semántico "dispositivos de salida"	Facil	multiple	Pantalla	Teclado	Ratón	Unidad de disco óptico	r1
Hardware	Cual de las siguientes palabras pertenece al campo semántico "dispositivos de salida"	Facil	multiple	Unidad de disco óptico	Impresoras	Escáner	Micrófono	r2
Hardware	Cual de las siguientes palabras pertenece al campo semántico "dispositivos de salida"	Facil	multiple	Tableta gráfica	Ratón	Bocina	Teclado	r3
Hardware	Cual de las siguientes palabras pertenece al campo semántico "dispositivos de salida"	Facil	multiple	Teclado	Unidad de disco óptico	Micrófono	Audifonos	r4
Hardware	Cual de las siguientes palabras pertenece al campo semántico "dispositivos de salida"	Facil	multiple	Escáner	Plotter	Teclado	Tableta gráfica	r2
Hardware	Cual de las siguientes palabras pertenece al campo semántico "dispositivos de entrada"	Facil	multiple	Bocina	Pantalla	Teclado	Audifonos	r3
Hardware	Cual de las siguientes palabras pertenece al campo semántico "dispositivos de entrada"	Facil	multiple	Mouse	Audifonos	Impresora	Proyector	r1
Hardware	Cual de las siguientes palabras pertenece al campo semántico "dispositivos de entrada"	Facil	multiple	Bocina	Escaner	Pantalla	Proyector	r2
Hardware	Cual de las siguientes palabras pertenece al campo semántico "dispositivos de entrada"	Facil	multiple	Plotter	Cámara de video	Audifonos	Bocina	r2
Hardware	¿Cuál es la parte física de un ordenador?	Facil	multiple	Hardware	Software	Malware	Ninguna respuesta es correcta	r1
Hardware	¿Cuáles el elemento más importante del hardware?	Facil	multiple	El disco duro	La placa base	La memoria RAM	El microprocesador	r4
Hardware	La capacidad de los discos duros se mide en	Facil	multiple	MB/s (Megas por segundo)	GigaHerzios	Letras/milímetro	Gigabytes o Terabytes	r4
Hardware	El puerto VGA sirve para	Facil	booleana	Conectar el monitor	Conectarse a internet			r1
Hardware	El teclado es un periférico de:	Facil	booleana	Entrada	Salida			r1
Hardware	El pen-drive es un periférico de:	Facil	multiple	Entrada	Salida	Entrada/Salida	Ninguna respuesta es correcta	r3
Hardware	El micrófono es un perférico de:	Facil	multiple	Entrada	Salida	Entrada/Salida	Ninguna respuesta es correcta	r1
Hardware	El ratón es un perférico de:	Facil	booleana	Entrada	Salida			r1
Hardware	La impresora es un perférico de:	Facil	booleana	Entrada	Salida			r2
Hardware	El altavozes un perférico de:	Facil	multiple	Entrada	Salida	Entrada/Salida	Ninguna respuesta es correcta	r2
Hardware	La unidad de disco óptico es un perférico de:	Facil	booleana	Entrada	Salida			r1
Hardware	Los audifonos son un perférico de:	Facil	multiple	Entrada	Salida	Entrada/Salida	Ninguna respuesta es correcta	r2
Hardware	La impresoras multifunciónes un perférico de:	Facil	multiple	Entrada	Salida	Entrada/Salida	Ninguna respuesta es correcta	r3
Hardware	La WebCam es un perférico de:	Facil	multiple	Entrada	Salida	Entrada/Salida	Ninguna respuesta es correcta	r1
Hardware	La pantalla es un perférico de:	Facil	multiple	Entrada	Salida	Entrada/Salida	Ninguna respuesta es correcta	r2
Hardware	La pantalla táctiles un perférico de:	Facil	multiple	Entrada	Salida	Entrada/Salida	Ninguna respuesta es correcta	r3
Software	El sistema numérico binario denota todos los números usando una combinación de...	Facil	multiple	1 dígito	2 dígito	3 dígito	4 dígito	r2
Software	El procesamiento paralelo también se conoce como:	Facil	multiple	Multiprocesamiento	Procesamiento online	Procesamiento digital	Paralelismo	r1
Software	¿Cuál de los siguientes es un sistema operativo que usaría en la computadora?	Facil	multiple	Internet Explorer	Microsoft Windows	Microsoft Word	Netscape	r2
Software	Cuál no es un archivo de video	Facil	multiple	.jpg	.mp4	.swf	.wmv	r1
Software	La relacion entre software y programas	Facil	multiple	son verbos	antonimos	sinonimos	adjetivos	r3
Software	El software te permite	Facil	multiple	ver documentos	ver videos	oir musica	todas las anteriores	r4
Software	El software es la parte logica de la computadora conformada por los programas que ejecutan funciones.	Facil	booleana	Verdadero	Falso			r1
Software	Un software y un hardware es lo mismo.	Facil	booleana	Verdadero	Falso			r2
